"Source","Group","ID","PATSQL_solution","PATSQL_time"
"CUBES-spider","medicine_enzyme_interaction","0014","
SELECT
    count(id) 
FROM
    medicine 
WHERE
    fda_approved = 'No'","1"
"CUBES-spider","hospital_1","0046","
SELECT
    T0.name 
FROM
    physician AS T0 
JOIN
    affiliated_with AS T1 
        ON T0.employeeid = T1.physician 
JOIN
    department AS T2 
        ON T1.department = T2.departmentid 
WHERE
    T2.name = 'Surgery' 
    OR T2.name = 'Psychiatry'","2"
"CUBES-spider","hospital_1","0047","
SELECT
    T0.name 
FROM
    patient AS T0 
JOIN
    medication AS T1 
        ON T0.pcp = T1.code 
JOIN
    prescribes AS T2 
        ON T1.description = T2.appointment 
WHERE
    T1.name <> 'Procrastin-X' 
ORDER BY
    T0.name ASC","2"
"CUBES-spider","insurance_and_eClaims","0009","
SELECT
    T0.customer_details 
FROM
    customers AS T0 
LEFT JOIN
    policies AS T1 
        ON T0.customer_id = T1.customer_id 
WHERE
    T1.policy_id IS NULL 
ORDER BY
    T0.customer_details ASC","8"
"CUBES-spider","hospital_1","0044","No solution found","TimeOut"
"CUBES-spider","insurance_and_eClaims","0007","No solution found","TimeOut"
"CUBES-spider","insurance_and_eClaims","0008","No solution found","TimeOut"
"CUBES-spider","insurance_and_eClaims","0005","
SELECT
    sum(amount_piad),
    avg(amount_piad) 
FROM
    claim_headers","2"
"CUBES-spider","hospital_1","0048","
SELECT
    T0.pcp 
FROM
    patient AS T0 
JOIN
    prescribes AS T1 
        ON T0.ssn = T1.patient 
JOIN
    medication AS T2 
        ON T1.appointment = T2.description 
WHERE
    T2.name = 'Procrastin-X'","8"
"CUBES-spider","insurance_and_eClaims","0006","
SELECT
    sum(T0.amount_claimed) 
FROM
    claim_headers AS T0 
JOIN
    claims_documents AS T1 
        ON T0.claim_header_id = T1.claim_id 
WHERE
    T1.created_date = 1","55"
"CUBES-spider","hospital_1","0049","
SELECT
    max(physician) 
FROM
    appointment","4"
"CUBES-spider","insurance_and_eClaims","0003","
SELECT
    max(policy_type_code) 
FROM
    policies 
WHERE
    policy_id > 1","1"
"CUBES-spider","insurance_and_eClaims","0004","
SELECT
    min(policy_type_code) 
FROM
    policies 
GROUP BY
    customer_id 
HAVING
    count(policy_id) = 2 
ORDER BY
    min(policy_type_code) ASC","12"
"CUBES-spider","insurance_and_eClaims","0001","
SELECT
    customer_details 
FROM
    customers 
ORDER BY
    customer_details ASC","0"
"CUBES-spider","insurance_and_eClaims","0002","
SELECT
    T1.policy_type_code 
FROM
    customers AS T0 
JOIN
    policies AS T1 
        ON T0.customer_id = T1.customer_id 
WHERE
    T0.customer_details = 'Dayana Robel'","1"
"CUBES-spider","hospital_1","0042","
SELECT
    T2.name 
FROM
    physician AS T0 
JOIN
    trained_in AS T1 
        ON T0.employeeid = T1.physician 
JOIN
    procedures AS T2 
        ON T1.treatment = T2.code 
WHERE
    T0.employeeid < 1000 
    AND T0.name = 'John Wen' 
ORDER BY
    T2.name ASC","8"
"CUBES-spider","hospital_1","0040","No solution found","TimeOut"
"CUBES-spider","hospital_1","0041","
SELECT
    T2.name 
FROM
    physician AS T0 
JOIN
    trained_in AS T1 
        ON T0.employeeid = T1.physician 
JOIN
    procedures AS T2 
        ON T1.treatment = T2.code 
WHERE
    T0.name = 'John Wen'","6"
"CUBES-spider","medicine_enzyme_interaction","0022","
SELECT
    T0.trade_name,
    T1.count_distinct_fda_approved 
FROM
    medicine AS T0 
JOIN
    (
        SELECT
            fda_approved,
            count(DISTINCT fda_approved) AS count_distinct_fda_approved 
        FROM
            medicine 
        GROUP BY
            fda_approved
    ) AS T1 
        ON T1.fda_approved = T0.fda_approved 
ORDER BY
    T0.trade_name ASC","9"
"CUBES-spider","medicine_enzyme_interaction","0020","
SELECT
    count(DISTINCT fda_approved) 
FROM
    medicine","0"
"CUBES-spider","medicine_enzyme_interaction","0021","No solution found","TimeOut"
"CUBES-spider","hospital_1","0035","
SELECT
    max(cost),
    min(cost),
    avg(cost) 
FROM
    procedures","0"
"CUBES-spider","hospital_1","0036","
SELECT
    name,
    cost 
FROM
    procedures 
ORDER BY
    cost DESC","1"
"CUBES-spider","hospital_1","0033","
SELECT
    T0.name 
FROM
    department AS T0 
JOIN
    affiliated_with AS T1 
        ON T0.departmentid = T1.physician 
WHERE
    T1.department = 1","1"
"CUBES-spider","hospital_1","0034","
SELECT
    T1.nurse 
FROM
    nurse AS T0 
JOIN
    on_call AS T1 
        ON T0.employeeid = T1.nurse 
WHERE
    T1.blockcode = 1 
ORDER BY
    T1.nurse ASC","1"
"CUBES-spider","hospital_1","0039","No solution found","TimeOut"
"CUBES-spider","music_4","0010","
SELECT
    song 
FROM
    volume","0"
"CUBES-spider","hospital_1","0037","
SELECT
    T0.name 
FROM
    (SELECT
        name,
        rank() OVER (ORDER BY cost ASC) AS rank_over_order_by_cost_asc 
    FROM
        procedures) AS T0 
WHERE
    T0.rank_over_order_by_cost_asc <= 3","85"
"CUBES-spider","hospital_1","0038","No solution found","TimeOut"
"CUBES-spider","music_4","0012","
SELECT
    T1.date_of_ceremony 
FROM
    volume AS T0 
JOIN
    music_festival AS T1 
        ON T0.volume_id = T1.id 
WHERE
    T0.volume_id <= 2","5"
"CUBES-spider","music_4","0011","
SELECT
    count(DISTINCT artist_id) 
FROM
    volume","0"
"CUBES-spider","music_4","0014","
SELECT
    T1.issue_date 
FROM
    artist AS T0 
JOIN
    volume AS T1 
        ON T0.artist_id = T1.artist_id 
WHERE
    T0.artist = 'Gorgoroth'","1"
"CUBES-spider","music_4","0013","
SELECT
    T0.song 
FROM
    volume AS T0 
JOIN
    music_festival AS T1 
        ON T0.volume_id = T1.id 
WHERE
    T1.result = 'Nominated'","2"
"CUBES-spider","music_4","0016","
SELECT
    T1.weeks_on_top 
FROM
    artist AS T0 
JOIN
    volume AS T1 
        ON T0.artist_id = T1.artist_id 
WHERE
    T0.age < 25","2"
"CUBES-spider","hospital_1","0031","
SELECT
    T0.name 
FROM
    physician AS T0 
JOIN
    prescribes AS T1 
        ON T0.employeeid = T1.physician 
WHERE
    T0.employeeid = 1","1"
"CUBES-spider","music_4","0015","
SELECT
    T1.song 
FROM
    artist AS T0 
JOIN
    volume AS T1 
        ON T0.artist_id = T1.artist_id 
WHERE
    T0.age > 32","1"
"CUBES-spider","hospital_1","0032","No solution found","TimeOut"
"CUBES-spider","music_4","0018","
SELECT
    famous_title,
    age 
FROM
    artist 
ORDER BY
    age DESC","0"
"CUBES-spider","music_4","0017","No solution found","TimeOut"
"CUBES-spider","hospital_1","0030","
SELECT
    name 
FROM
    medication 
ORDER BY
    name ASC","0"
"CUBES-spider","music_4","0019","
SELECT
    min(T0.max_famous_release_date) 
FROM
    (SELECT
        max(famous_release_date) AS max_famous_release_date 
    FROM
        artist 
    GROUP BY
        artist 
    HAVING
        count(artist_id) = 1) AS T0","98"
"CUBES-spider","products_for_hire","0001","
SELECT
    min(T1.good_or_bad_customer) 
FROM
    discount_coupons AS T0 
JOIN
    customers AS T1 
        ON T0.coupon_id = T1.customer_id 
WHERE
    T0.coupon_id < 500","22"
"CUBES-spider","products_for_hire","0002","No solution found","TimeOut"
"CUBES-spider","products_for_hire","0005","No solution found","TimeOut"
"CUBES-spider","hospital_1","0024","
SELECT
    T0.code,
    max(T0.name) 
FROM
    medication AS T0 
JOIN
    prescribes AS T1 
        ON T0.code = T1.medication 
GROUP BY
    T0.code 
ORDER BY
    T0.code DESC","17"
"CUBES-spider","products_for_hire","0006","
SELECT
    T0.product_description 
FROM
    products_for_hire AS T0 
JOIN
    products_booked AS T1 
        ON T0.product_id = T1.product_id 
WHERE
    T1.booked_amount = 102.76","2"
"CUBES-spider","hospital_1","0025","No solution found","TimeOut"
"CUBES-spider","products_for_hire","0003","No solution found","TimeOut"
"CUBES-spider","hospital_1","0022","
SELECT
    T0.name 
FROM
    physician AS T0 
JOIN
    prescribes AS T1 
        ON T0.employeeid = T1.physician 
JOIN
    medication AS T2 
        ON T1.appointment = T2.description 
WHERE
    T2.name = 'Thesisin'","8"
"CUBES-spider","products_for_hire","0004","No solution found","TimeOut"
"CUBES-spider","hospital_1","0023","
SELECT
    T0.name,
    T0.position 
FROM
    physician AS T0 
JOIN
    medication AS T1 
        ON T0.employeeid = T1.code 
JOIN
    prescribes AS T2 
        ON T0.employeeid = T2.physician 
WHERE
    T1.brand = 'X'","2"
"CUBES-spider","products_for_hire","0009","
SELECT
    count(DISTINCT product_type_code) 
FROM
    products_for_hire","0"
"CUBES-spider","hospital_1","0028","
SELECT
    name 
FROM
    nurse 
ORDER BY
    name ASC","0"
"CUBES-spider","hospital_1","0029","
SELECT
    T0.name 
FROM
    nurse AS T0 
LEFT JOIN
    undergoes AS T1 
        ON T0.employeeid = T1.patient 
ORDER BY
    T0.name ASC","0"
"CUBES-spider","products_for_hire","0007","No solution found","TimeOut"
"CUBES-spider","hospital_1","0026","
SELECT
    T0.ssn 
FROM
    patient AS T0 
JOIN
    undergoes AS T1 
        ON T0.pcp = T1.procedures 
WHERE
    T0.pcp = 1","3"
"CUBES-spider","products_for_hire","0008","No solution found","TimeOut"
"CUBES-spider","hospital_1","0027","
SELECT
    T0.name 
FROM
    patient AS T0 
JOIN
    stay AS T1 
        ON T0.ssn = T1.patient 
JOIN
    undergoes AS T2 
        ON T0.pcp = T2.procedures 
WHERE
    T1.room = 111","24"
"CUBES-spider","music_4","0001","
SELECT
    max(artist_id) 
FROM
    artist","0"
"CUBES-spider","music_4","0003","
SELECT
    avg(age) 
FROM
    artist","0"
"CUBES-spider","music_4","0002","
SELECT
    age 
FROM
    artist","0"
"CUBES-spider","music_4","0005","
SELECT
    max(famous_release_date) 
FROM
    artist 
GROUP BY
    artist","1"
"CUBES-spider","hospital_1","0020","
SELECT
    blockcode 
FROM
    room 
WHERE
    roomnumber > 0 
GROUP BY
    blockcode 
ORDER BY
    blockcode ASC","3"
"CUBES-spider","music_4","0004","
SELECT
    famous_title 
FROM
    artist 
WHERE
    artist = 'Triumfall'","0"
"CUBES-spider","hospital_1","0021","
SELECT
    min(blockfloor) 
FROM
    room","1"
"CUBES-spider","music_4","0007","
SELECT
    category 
FROM
    music_festival 
WHERE
    result = 'Awarded' 
ORDER BY
    category ASC","4"
"CUBES-spider","music_4","0006","
SELECT
    date_of_ceremony,
    result 
FROM
    music_festival","0"
"CUBES-spider","music_4","0009","No solution found","TimeOut"
"CUBES-spider","music_4","0008","
SELECT
    max(weeks_on_top),
    min(weeks_on_top) 
FROM
    volume","0"
"CUBES-spider","products_for_hire","0012","
SELECT
    max(booked_count),
    min(booking_id),
    avg(booked_count) 
FROM
    products_booked","2"
"CUBES-spider","products_for_hire","0013","
SELECT
    payment_type_code 
FROM
    payments 
GROUP BY
    payment_type_code","3"
"CUBES-spider","products_for_hire","0010","
SELECT
    first_name,
    last_name,
    gender_mf 
FROM
    customers 
WHERE
    good_or_bad_customer = 'good' 
ORDER BY
    last_name ASC","0"
"CUBES-spider","products_for_hire","0011","
SELECT
    avg(amount_due) 
FROM
    payments","3"
"CUBES-spider","hospital_1","0013","
SELECT
    T1.name 
FROM
    patient AS T0 
JOIN
    medication AS T1 
        ON T0.pcp = T1.code 
JOIN
    prescribes AS T2 
        ON T0.ssn = T2.patient 
JOIN
    stay AS T3 
        ON T0.ssn = T3.patient 
WHERE
    T3.room = 111","23"
"CUBES-spider","hospital_1","0014","
SELECT
    T1.patient 
FROM
    patient AS T0 
JOIN
    stay AS T1 
        ON T0.ssn = T1.patient 
WHERE
    T0.ssn > 111 
    AND T0.pcp = 1","2"
"CUBES-spider","hospital_1","0011","
SELECT
    EXTRACT(day FROM staystart) 
FROM
    stay 
WHERE
    room < 112","1"
"CUBES-spider","hospital_1","0012","
SELECT
    T0.employeeid 
FROM
    physician AS T0 
JOIN
    patient AS T1 
        ON T0.employeeid = T1.pcp 
JOIN
    prescribes AS T2 
        ON T0.employeeid = T2.physician 
WHERE
    T0.name = 'John Dorian'","2"
"CUBES-spider","hospital_1","0017","
SELECT
    max(T0.name) 
FROM
    physician AS T0 
JOIN
    patient AS T1 
        ON T0.employeeid = T1.pcp 
WHERE
    T0.employeeid > 1","6"
"CUBES-spider","hospital_1","0018","
SELECT
    count(DISTINCT T1.roomnumber),
    T0.blockfloor 
FROM
    block AS T0 
JOIN
    room AS T1 
        ON T0.blockfloor = T1.blockfloor 
GROUP BY
    T0.blockfloor 
ORDER BY
    T0.blockfloor ASC","37"
"CUBES-spider","hospital_1","0015","
SELECT
    min(T0.name) 
FROM
    nurse AS T0 
LEFT JOIN
    appointment AS T1 
        ON T0.employeeid = T1.appointmentid 
WHERE
    T0.employeeid > 1","7"
"CUBES-spider","hospital_1","0016","
SELECT
    max(T0.name),
    count(T0.employeeid) 
FROM
    physician AS T0 
JOIN
    patient AS T1 
        ON T0.employeeid = T1.pcp 
GROUP BY
    T0.employeeid 
ORDER BY
    max(T0.name) DESC","21"
"CUBES-spider","hospital_1","0010","
SELECT
    min(T0.name) 
FROM
    patient AS T0 
JOIN
    appointment AS T1 
        ON T0.ssn = T1.patient 
WHERE
    T0.ssn > 1","32"
"CUBES-spider","hospital_1","0019","
SELECT
    count(DISTINCT T1.roomnumber),
    T1.blockcode 
FROM
    block AS T0 
JOIN
    room AS T1 
        ON T0.blockfloor = T1.blockfloor 
GROUP BY
    T1.blockcode 
ORDER BY
    T1.blockcode ASC","90"
"CUBES-spider","hospital_1","0002","
SELECT
    head 
FROM
    department 
WHERE
    departmentid = 1","0"
"CUBES-spider","hospital_1","0003","
SELECT
    T0.name,
    T0.position 
FROM
    physician AS T0 
JOIN
    department AS T1 
        ON T0.employeeid = T1.head 
WHERE
    T1.departmentid = 1","0"
"CUBES-spider","hospital_1","0001","
SELECT
    name 
FROM
    department 
WHERE
    departmentid = 1","0"
"CUBES-spider","hospital_1","0006","No solution found","TimeOut"
"CUBES-spider","hospital_1","0007","
SELECT
    T0.name 
FROM
    physician AS T0 
JOIN
    appointment AS T1 
        ON T0.employeeid = T1.physician","0"
"CUBES-spider","hospital_1","0004","
SELECT
    T0.name 
FROM
    patient AS T0 
JOIN
    appointment AS T1 
        ON T0.ssn = T1.patient","0"
"CUBES-spider","hospital_1","0005","
SELECT
    min(T0.name),
    min(T0.phone) 
FROM
    patient AS T0 
JOIN
    appointment AS T1 
        ON T0.ssn = T1.patient 
WHERE
    T0.ssn > 1 
GROUP BY
    T0.pcp 
ORDER BY
    min(T0.name) DESC","54"
"CUBES-spider","hospital_1","0008","
SELECT
    T0.name 
FROM
    physician AS T0 
LEFT JOIN
    appointment AS T1 
        ON T0.employeeid = T1.physician 
WHERE
    T1.appointmentid IS NULL 
ORDER BY
    T0.name ASC","12"
"CUBES-spider","hospital_1","0009","No solution found","TimeOut"
"CUBES-spider","swimming","0030","
SELECT
    avg(capacity) 
FROM
    stadium 
WHERE
    opening_year = 2005","8"
"CUBES-spider","product_catalog","0018","No solution found","TimeOut"
"CUBES-spider","product_catalog","0019","
SELECT
    max(date_of_latest_revision) 
FROM
    catalogs 
WHERE
    catalog_id > 1 
GROUP BY
    catalog_publisher 
ORDER BY
    max(date_of_latest_revision) ASC","2"
"CUBES-spider","swimming","0009","
SELECT
    max(country) 
FROM
    stadium 
WHERE
    id < 60000 
    AND capacity < 50000","8"
"CUBES-spider","customers_and_addresses","0007","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0006","
SELECT
    payment_method 
FROM
    customers 
GROUP BY
    payment_method 
HAVING
    min(customer_id) > 1 
    AND count(DISTINCT other_customer_details) = 1","5"
"CUBES-spider","customers_and_addresses","0009","
SELECT
    product_details 
FROM
    products 
ORDER BY
    product_details ASC","4"
"CUBES-spider","customers_and_addresses","0008","
SELECT
    payment_method 
FROM
    customers 
GROUP BY
    payment_method 
ORDER BY
    payment_method ASC","2"
"CUBES-spider","swimming","0011","
SELECT
    country,
    count(id) 
FROM
    stadium 
GROUP BY
    country 
ORDER BY
    country ASC","8"
"CUBES-spider","swimming","0010","No solution found","TimeOut"
"CUBES-spider","product_catalog","0020","
SELECT
    max(catalog_entry_id) 
FROM
    catalog_contents","39"
"CUBES-spider","product_catalog","0021","No solution found","TimeOut"
"CUBES-spider","swimming","0015","
SELECT
    count(DISTINCT nationality) 
FROM
    swimmer","10"
"CUBES-spider","swimming","0014","
SELECT
    name 
FROM
    swimmer","3"
"CUBES-spider","customers_and_addresses","0001","
SELECT
    customer_name 
FROM
    customers","7"
"CUBES-spider","swimming","0013","
SELECT
    count(id) 
FROM
    stadium 
WHERE
    country <> 'Russia'","11"
"CUBES-spider","swimming","0012","
SELECT
    country 
FROM
    stadium 
GROUP BY
    country 
HAVING
    max(opening_year) <= 2006 
ORDER BY
    country ASC","14"
"CUBES-spider","customers_and_addresses","0003","No solution found","TimeOut"
"CUBES-spider","swimming","0019","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0002","No solution found","TimeOut"
"CUBES-spider","swimming","0018","
SELECT
    T0.name 
FROM
    swimmer AS T0 
JOIN
    record AS T1 
        ON T0.id = T1.swimmer_id 
WHERE
    T1.result = 'Win'","7"
"CUBES-spider","customers_and_addresses","0005","
SELECT
    date_became_customer 
FROM
    customers 
WHERE
    customer_id >= 10 
    AND customer_id < 20","3"
"CUBES-spider","swimming","0017","
SELECT
    meter_200,
    meter_300 
FROM
    swimmer 
WHERE
    nationality = 'Australia' 
ORDER BY
    meter_200 ASC","0"
"CUBES-spider","customers_and_addresses","0004","
SELECT
    customer_name 
FROM
    customers 
WHERE
    payment_method = 'Cash'","2"
"CUBES-spider","swimming","0016","
SELECT
    min(nationality),
    min(id) 
FROM
    swimmer 
WHERE
    id > 1","4"
"CUBES-spider","product_catalog","0007","
SELECT
    T0.catalog_name,
    T0.date_of_publication 
FROM
    catalogs AS T0 
JOIN
    catalog_structure AS T1 
        ON T0.catalog_id = T1.catalog_id 
WHERE
    T1.catalog_level_number > 5 
ORDER BY
    T0.catalog_name ASC","1"
"CUBES-spider","product_catalog","0008","No solution found","TimeOut"
"CUBES-spider","product_catalog","0009","No solution found","TimeOut"
"PATSQL-StackOverflow","dev_set","055AM","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0018","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0017","
SELECT
    city 
FROM
    addresses","5"
"CUBES-spider","customers_and_addresses","0019","No solution found","TimeOut"
"CUBES-spider","swimming","0022","No solution found","TimeOut"
"CUBES-spider","swimming","0021","No solution found","TimeOut"
"CUBES-spider","swimming","0020","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0010","No solution found","TimeOut"
"CUBES-spider","swimming","0026","No solution found","TimeOut"
"CUBES-spider","product_catalog","0011","
SELECT
    avg(price_in_euros),
    min(price_in_euros) 
FROM
    catalog_contents","63"
"CUBES-spider","swimming","0025","No solution found","TimeOut"
"CUBES-spider","product_catalog","0012","
SELECT
    catalog_entry_name 
FROM
    catalog_contents 
WHERE
    catalog_entry_id = 1","1"
"CUBES-spider","customers_and_addresses","0012","No solution found","TimeOut"
"CUBES-spider","swimming","0024","
SELECT
    T0.name,
    T0.nationality 
FROM
    swimmer AS T0 
JOIN
    record AS T1 
        ON T0.id = T1.swimmer_id 
WHERE
    T1.result <> 'Win' 
    AND T0.id > 1 
ORDER BY
    T0.name DESC","13"
"CUBES-spider","product_catalog","0013","
SELECT
    catalog_entry_name 
FROM
    catalog_contents 
WHERE
    catalog_entry_id = 1","1"
"CUBES-spider","customers_and_addresses","0011","No solution found","TimeOut"
"CUBES-spider","swimming","0023","No solution found","TimeOut"
"CUBES-spider","product_catalog","0014","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0014","No solution found","TimeOut"
"CUBES-spider","product_catalog","0015","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0013","No solution found","TimeOut"
"CUBES-spider","swimming","0029","
SELECT
    id,
    name,
    nationality,
    meter_100,
    meter_200,
    meter_300,
    meter_400,
    meter_500,
    meter_600,
    meter_700,
    time 
FROM
    swimmer","12"
"CUBES-spider","product_catalog","0016","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0016","No solution found","TimeOut"
"CUBES-spider","swimming","0028","No solution found","TimeOut"
"CUBES-spider","product_catalog","0017","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0015","No solution found","TimeOut"
"CUBES-spider","swimming","0027","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0029","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0028","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0021","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0020","
SELECT
    country 
FROM
    addresses 
WHERE
    address_id = 4","4"
"CUBES-spider","customers_and_addresses","0023","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0022","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0027","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0026","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0030","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0039","
SELECT
    T0.product_details,
    T0.product_id 
FROM
    products AS T0 
LEFT JOIN
    order_items AS T1 
        ON T0.product_id = T1.order_id 
WHERE
    T0.product_id = 1","6"
"CUBES-spider","customers_and_addresses","0032","No solution found","TimeOut"
"CUBES-spider","swimming","0004","
SELECT
    max(id) 
FROM
    stadium","6"
"CUBES-spider","customers_and_addresses","0031","No solution found","TimeOut"
"CUBES-spider","swimming","0003","
SELECT
    min(name) 
FROM
    event 
WHERE
    id > 1","7"
"CUBES-spider","customers_and_addresses","0034","
SELECT
    T0.customer_name,
    T1.order_date 
FROM
    customers AS T0 
JOIN
    customer_orders AS T1 
        ON T0.customer_id = T1.customer_id 
WHERE
    T1.order_status = 'Delivered'","7"
"CUBES-spider","swimming","0002","
SELECT
    name 
FROM
    event","4"
"CUBES-spider","customers_and_addresses","0033","No solution found","TimeOut"
"CUBES-spider","swimming","0001","
SELECT
    max(id) 
FROM
    event","3"
"CUBES-spider","customers_and_addresses","0036","No solution found","TimeOut"
"CUBES-spider","swimming","0008","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0035","No solution found","TimeOut"
"CUBES-spider","swimming","0007","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0038","
SELECT
    T0.product_details 
FROM
    products AS T0 
JOIN
    order_items AS T1 
        ON T0.product_id = T1.order_id 
WHERE
    T0.product_id > 1","7"
"CUBES-spider","swimming","0006","No solution found","TimeOut"
"CUBES-spider","customers_and_addresses","0037","No solution found","TimeOut"
"CUBES-spider","swimming","0005","
SELECT
    name 
FROM
    stadium 
WHERE
    id = 1","14"
"CUBES-spider","customers_and_addresses","0041","
SELECT
    customer_name 
FROM
    customers 
WHERE
    payment_method <> 'Cash'","7"
